OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL
101|34|39166|30847|29656|30370
102|108|104065|76366|74944|75534
103|68|60803|45972|44843|45425
104|88|86073|65088|63708|64498
105|104|113230|74791|73351|74113
106|56|61577|42371|41959|41829
107|53|54622|41353|40798|40936
108|71|71385|54930|54244|54406
201|124|102439|63632|63286|62964
202|84|78575|51474|51107|50902
203|46|36706|25045|24795|24745
204|63|53027|36756|36203|36388
205|53|49769|32465|32157|32054
206|44|38895|25825|25584|25507
207|120|107793|77523|76671|76678
301|62|29668|20404|20190|20170
302|60|48407|33604|33146|33275
303|32|22108|14714|14498|14573
304|67|50940|35402|34993|35051
305|52|37271|25158|24815|24897
306|68|51168|35964|35443|35617
307|138|111204|75959|74657|75124
308|53|37164|25817|25521|25577
309|116|93507|67575|66226|66773
401|108|84408|44527|44240|44000
402|163|92194|56970|56263|56299
403|163|135601|93675|92500|92603
404|143|116073|71527|70921|70647
405|43|42547|26463|26229|26054
406|88|59560|40085|39626|39714
407|46|34266|23837|23575|23509
501|34|25033|17488|17329|17278
502|77|72982|46938|46500|46129
503|42|31690|22942|22493|22701
504|28|26577|18785|18615|18574
505|96|61165|42787|42045|42265
506|107|78015|54666|53720|54094
507|45|46406|33559|33141|33089
508|58|47521|33490|32884|33077
509|32|13691|9444|9346|9341
510|32|28637|21606|21239|21376
511|157|130613|94458|93003|93418
601|129|90554|64361|62889|63677
602|24|13254|8712|8598|8628
603|67|50189|30978|30496|30537
604|45|26278|17413|17195|17228
605|45|17912|11709|11569|11556
606|95|57356|31604|31089|31112
607|38|17283|10625|10499|10460
608|66|30383|15600|15399|15257
609|151|63118|34355|33952|33673
610|85|34626|20131|19880|19866
611|77|55194|37513|36774|37151
612|33|21290|14112|13937|13939
613|56|37750|25042|24691|24749
701|116|59693|38444|37444|37860
702|88|49476|30209|29440|29855
703|68|53061|31187|30529|30656
704|47|25559|15887|15631|15708
705|30|9094|5059|4956|4993
706|90|85220|56644|55193|55966
707|167|133669|90443|87960|89246
708|62|43695|27865|27463|27478
709|48|28970|16289|15941|16082
710|62|39767|24573|24131|24220
711|52|15998|9673|9416|9584
712|78|25558|15362|15047|15189
713|93|60422|35375|34806|34799
801|32|23726|13030|12845|12809
802|59|54012|35317|34086|34940
803|60|64790|39768|38498|39371
804|26|23890|14569|14202|14469
805|54|47470|30508|29763|30224
806|147|97170|59230|58377|58287
807|132|85636|46093|45153|45494
808|88|47588|26720|26350|26254
809|52|17739|10407|10263|10277
810|81|73357|43560|42559|42953
811|128|81015|42330|41799|41565
900|1|4116|3861|0|3825
